assistant_name,9,10,mep_stayed,mep_change,details_9,details_10
AINA ARROM MAYOL,"{'Alicia HOMS GINEL', 'Nacho SÁNCHEZ AMOR', 'Iratxe GARCÍA PÉREZ', 'Javier MORENO SÁNCHEZ', 'Nicolás GONZÁLEZ CASARES', 'Juan Fernando LÓPEZ AGUILAR', 'Lina GÁLVEZ'}","{'Alicia HOMS GINEL', 'Rosa SERRANO SIERRA', 'Laura BALLARÍN CEREZA', 'José CEPEDA', 'Leire PAJÍN', 'Jonás FERNÁNDEZ', 'Elena SANCHO MURILLO', 'Marcos ROS SEMPERE', 'Iratxe GARCÍA PÉREZ', 'Javier MORENO SÁNCHEZ', 'Hana JALLOUL MURO', 'Lina GÁLVEZ', 'Idoia MENDIA', 'Cristina MAESTRE', 'Nacho SÁNCHEZ AMOR', 'Sandra GÓMEZ LÓPEZ', 'Javi LÓPEZ', 'Nicolás GONZÁLEZ CASARES', 'César LUENA', 'Juan Fernando LÓPEZ AGUILAR'}",False,Moved,"[{'mep_name': 'Alicia HOMS GINEL', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Iratxe GARCÍA PÉREZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Javier MORENO SÁNCHEZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Juan Fernando LÓPEZ AGUILAR', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Lina GÁLVEZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Nacho SÁNCHEZ AMOR', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Nicolás GONZÁLEZ CASARES', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}]","[{'mep_name': 'Laura BALLARÍN CEREZA', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'José CEPEDA', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Jonás FERNÁNDEZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Lina GÁLVEZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Iratxe GARCÍA PÉREZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Sandra GÓMEZ LÓPEZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Nicolás GONZÁLEZ CASARES', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Alicia HOMS GINEL', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Hana JALLOUL MURO', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Javi LÓPEZ', 'mep_party': 'Partit dels Socialistes de Catalunya', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Juan Fernando LÓPEZ AGUILAR', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'César LUENA', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Cristina MAESTRE', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Idoia MENDIA', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Javier MORENO SÁNCHEZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Leire PAJÍN', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Marcos ROS SEMPERE', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Nacho SÁNCHEZ AMOR', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Elena SANCHO MURILLO', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Rosa SERRANO SIERRA', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}]"
AMANDA ELISABET ANNIE ARLEKLO,set(),"{'Alice KUHNKE', 'Isabella LÖVIN', 'Pär HOLMGREN'}",False,Moved,,"[{'mep_name': 'Pär HOLMGREN', 'mep_party': 'Miljöpartiet de gröna', 'country': 'Sweden', 'group_abbr': 'G/EFA'}, {'mep_name': 'Alice KUHNKE', 'mep_party': 'Miljöpartiet de gröna', 'country': 'Sweden', 'group_abbr': 'G/EFA'}, {'mep_name': 'Isabella LÖVIN', 'mep_party': 'Miljöpartiet de gröna', 'country': 'Sweden', 'group_abbr': 'G/EFA'}]"
ANA LÓPEZ GONZÁLEZ,"{'Alicia HOMS GINEL', 'Nacho SÁNCHEZ AMOR', 'Iratxe GARCÍA PÉREZ', 'Javier MORENO SÁNCHEZ', 'Nicolás GONZÁLEZ CASARES', 'Lina GÁLVEZ'}","{'José CEPEDA', 'Leire PAJÍN', 'Idoia MENDIA', 'Alicia HOMS GINEL', 'Rosa SERRANO SIERRA', 'Jonás FERNÁNDEZ', 'Elena SANCHO MURILLO', 'Marcos ROS SEMPERE', 'Cristina MAESTRE', 'Nacho SÁNCHEZ AMOR', 'Iratxe GARCÍA PÉREZ', 'Hana JALLOUL MURO', 'Javier MORENO SÁNCHEZ', 'Sandra GÓMEZ LÓPEZ', 'Nicolás GONZÁLEZ CASARES', 'César LUENA', 'Juan Fernando LÓPEZ AGUILAR', 'Lina GÁLVEZ'}",False,Moved,"[{'mep_name': 'Alicia HOMS GINEL', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Iratxe GARCÍA PÉREZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Javier MORENO SÁNCHEZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Lina GÁLVEZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Nacho SÁNCHEZ AMOR', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Nicolás GONZÁLEZ CASARES', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}]","[{'mep_name': 'José CEPEDA', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Jonás FERNÁNDEZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Lina GÁLVEZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Iratxe GARCÍA PÉREZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Sandra GÓMEZ LÓPEZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Nicolás GONZÁLEZ CASARES', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Alicia HOMS GINEL', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Hana JALLOUL MURO', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Juan Fernando LÓPEZ AGUILAR', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'César LUENA', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Cristina MAESTRE', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Idoia MENDIA', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Javier MORENO SÁNCHEZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Leire PAJÍN', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Marcos ROS SEMPERE', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Nacho SÁNCHEZ AMOR', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Elena SANCHO MURILLO', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Rosa SERRANO SIERRA', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}]"
Agnes POPOVICS,set(),"{'Csaba MOLNÁR', 'Klára DOBREV'}",False,Moved,,"[{'mep_name': 'Klára DOBREV', 'mep_party': 'Demokratikus Koalíció', 'country': 'Hungary', 'group_abbr': 'S&D'}, {'mep_name': 'Csaba MOLNÁR', 'mep_party': 'Demokratikus Koalíció', 'country': 'Hungary', 'group_abbr': 'S&D'}]"
Alejandro PEINADO GARCIA,"{'Alicia HOMS GINEL', 'Cristina MAESTRE', 'Nacho SÁNCHEZ AMOR', 'Javier MORENO SÁNCHEZ', 'Nicolás GONZÁLEZ CASARES', 'Juan Fernando LÓPEZ AGUILAR', 'Lina GÁLVEZ'}","{'José CEPEDA', 'Leire PAJÍN', 'Idoia MENDIA', 'Alicia HOMS GINEL', 'Rosa SERRANO SIERRA', 'Jonás FERNÁNDEZ', 'Elena SANCHO MURILLO', 'Marcos ROS SEMPERE', 'Cristina MAESTRE', 'Nacho SÁNCHEZ AMOR', 'Iratxe GARCÍA PÉREZ', 'Hana JALLOUL MURO', 'Javier MORENO SÁNCHEZ', 'Sandra GÓMEZ LÓPEZ', 'Nicolás GONZÁLEZ CASARES', 'César LUENA', 'Juan Fernando LÓPEZ AGUILAR', 'Lina GÁLVEZ'}",False,Moved,"[{'mep_name': 'Alicia HOMS GINEL', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Cristina MAESTRE', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Javier MORENO SÁNCHEZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Juan Fernando LÓPEZ AGUILAR', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Lina GÁLVEZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Nacho SÁNCHEZ AMOR', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Nicolás GONZÁLEZ CASARES', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}]","[{'mep_name': 'José CEPEDA', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Jonás FERNÁNDEZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Lina GÁLVEZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Iratxe GARCÍA PÉREZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Sandra GÓMEZ LÓPEZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Nicolás GONZÁLEZ CASARES', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Alicia HOMS GINEL', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Hana JALLOUL MURO', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Juan Fernando LÓPEZ AGUILAR', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'César LUENA', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Cristina MAESTRE', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Idoia MENDIA', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Javier MORENO SÁNCHEZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Leire PAJÍN', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Marcos ROS SEMPERE', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Nacho SÁNCHEZ AMOR', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Elena SANCHO MURILLO', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Rosa SERRANO SIERRA', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}]"
Aleksander Lowe PRUITT,set(),"{'Beatrice TIMGREN', 'Charlie WEIMERS', 'Dick ERIXON'}",False,Moved,,"[{'mep_name': 'Dick ERIXON', 'mep_party': 'Sverigedemokraterna', 'country': 'Sweden', 'group_abbr': 'ECR'}, {'mep_name': 'Beatrice TIMGREN', 'mep_party': 'Sverigedemokraterna', 'country': 'Sweden', 'group_abbr': 'ECR'}, {'mep_name': 'Charlie WEIMERS', 'mep_party': 'Sverigedemokraterna', 'country': 'Sweden', 'group_abbr': 'ECR'}]"
Almudena DOCAVO MUNIZ,"{'Esteban GONZÁLEZ PONS', 'Pilar del CASTILLO VERA', 'Antonio LÓPEZ-ISTÚRIZ WHITE', 'Isabel BENJUMEA BENJUMEA', 'Francisco José MILLÁN MON', 'Rosa ESTARÀS FERRAGUT', 'Pablo ARIAS ECHEVERRÍA', 'Pernando BARRENA ARZA', 'Juan Ignacio ZOIDO ÁLVAREZ'}","{'Dolors MONTSERRAT', 'Susana SOLÍS PÉREZ', 'Borja GIMÉNEZ LARRAZ', 'Pilar DEL CASTILLO VERA', 'Isabel BENJUMEA BENJUMEA', 'Francisco José MILLÁN MON', 'Esteban GONZÁLEZ PONS', 'Elena NEVADO DEL CAMPO', 'Antonio LÓPEZ-ISTÚRIZ WHITE', 'Rosa ESTARÀS FERRAGUT', 'Esther HERRANZ GARCÍA', 'Gabriel MATO', 'Maravillas ABADÍA JOVER', 'Nicolás PASCUAL DE LA PARTE', 'Javier ZARZALEJOS', 'Fernando NAVARRETE ROJAS', 'Raúl DE LA HOZ QUINTANO', 'Alma EZCURRA ALMANSA', 'Adrián VÁZQUEZ LÁZARA', 'Carmen CRESPO DÍAZ', 'Pablo ARIAS ECHEVERRÍA', 'Juan Ignacio ZOIDO ÁLVAREZ'}",False,Moved,"[{'mep_name': 'Antonio LÓPEZ-ISTÚRIZ WHITE', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Esteban GONZÁLEZ PONS', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Francisco José MILLÁN MON', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Isabel BENJUMEA BENJUMEA', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Juan Ignacio ZOIDO ÁLVAREZ', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Pablo ARIAS ECHEVERRÍA', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Pernando BARRENA ARZA', 'mep_party': 'EH BILDU', 'country': 'Spain', 'group_abbr': 'GUE/NGL'}, {'mep_name': 'Pilar del CASTILLO VERA', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Rosa ESTARÀS FERRAGUT', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}]","[{'mep_name': 'Maravillas ABADÍA JOVER', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Pablo ARIAS ECHEVERRÍA', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Isabel BENJUMEA BENJUMEA', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Pilar DEL CASTILLO VERA', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Carmen CRESPO DÍAZ', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Raúl DE LA HOZ QUINTANO', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Rosa ESTARÀS FERRAGUT', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Alma EZCURRA ALMANSA', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Borja GIMÉNEZ LARRAZ', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Esteban GONZÁLEZ PONS', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Esther HERRANZ GARCÍA', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Antonio LÓPEZ-ISTÚRIZ WHITE', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Gabriel MATO', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Francisco José MILLÁN MON', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Dolors MONTSERRAT', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Fernando NAVARRETE ROJAS', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Elena NEVADO DEL CAMPO', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Nicolás PASCUAL DE LA PARTE', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Susana SOLÍS PÉREZ', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Adrián VÁZQUEZ LÁZARA', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Javier ZARZALEJOS', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}, {'mep_name': 'Juan Ignacio ZOIDO ÁLVAREZ', 'mep_party': 'Partido Popular', 'country': 'Spain', 'group_abbr': 'EPP'}]"
Almudena MOLINA DELGADO,"{'Alicia HOMS GINEL', 'Cristina MAESTRE', 'Nacho SÁNCHEZ AMOR', 'Iratxe GARCÍA PÉREZ', 'Javier MORENO SÁNCHEZ', 'Nicolás GONZÁLEZ CASARES', 'Juan Fernando LÓPEZ AGUILAR', 'Lina GÁLVEZ'}","{'José CEPEDA', 'Leire PAJÍN', 'Idoia MENDIA', 'Alicia HOMS GINEL', 'Rosa SERRANO SIERRA', 'Jonás FERNÁNDEZ', 'Elena SANCHO MURILLO', 'Marcos ROS SEMPERE', 'Cristina MAESTRE', 'Nacho SÁNCHEZ AMOR', 'Iratxe GARCÍA PÉREZ', 'Hana JALLOUL MURO', 'Javier MORENO SÁNCHEZ', 'Sandra GÓMEZ LÓPEZ', 'Nicolás GONZÁLEZ CASARES', 'César LUENA', 'Juan Fernando LÓPEZ AGUILAR', 'Lina GÁLVEZ'}",False,Moved,"[{'mep_name': 'Alicia HOMS GINEL', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Cristina MAESTRE', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Iratxe GARCÍA PÉREZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Javier MORENO SÁNCHEZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Juan Fernando LÓPEZ AGUILAR', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Lina GÁLVEZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Nacho SÁNCHEZ AMOR', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Nicolás GONZÁLEZ CASARES', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}]","[{'mep_name': 'José CEPEDA', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Jonás FERNÁNDEZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Lina GÁLVEZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Iratxe GARCÍA PÉREZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Sandra GÓMEZ LÓPEZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Nicolás GONZÁLEZ CASARES', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Alicia HOMS GINEL', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Hana JALLOUL MURO', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Juan Fernando LÓPEZ AGUILAR', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'César LUENA', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Cristina MAESTRE', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Idoia MENDIA', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Javier MORENO SÁNCHEZ', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Leire PAJÍN', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Marcos ROS SEMPERE', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Nacho SÁNCHEZ AMOR', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Elena SANCHO MURILLO', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}, {'mep_name': 'Rosa SERRANO SIERRA', 'mep_party': 'Partido Socialista Obrero Español', 'country': 'Spain', 'group_abbr': 'S&D'}]"
Alvaro PAVON ROMERO,"{'Margarita DE LA PISA CARRIÓN', 'Jorge BUXADÉ VILLALBA'}","{'Juan Carlos GIRAUTA VIDAL', 'Hermann TERTSCH', 'Margarita DE LA PISA CARRIÓN', 'Jorge BUXADÉ VILLALBA', 'Mireia BORRÁS PABÓN', 'Jorge MARTÍN FRÍAS'}",False,Moved,"[{'mep_name': 'Margarita DE LA PISA CARRIÓN', 'mep_party': 'VOX', 'country': 'Spain', 'group_abbr': 'ECR'}, {'mep_name': 'Jorge BUXADÉ VILLALBA', 'mep_party': 'VOX ', 'country': 'Spain', 'group_abbr': 'ECR'}]","[{'mep_name': 'Mireia BORRÁS PABÓN', 'mep_party': 'VOX', 'country': 'Spain', 'group_abbr': 'Patriots'}, {'mep_name': 'Jorge BUXADÉ VILLALBA', 'mep_party': 'VOX', 'country': 'Spain', 'group_abbr': 'Patriots'}, {'mep_name': 'Juan Carlos GIRAUTA VIDAL', 'mep_party': 'VOX', 'country': 'Spain', 'group_abbr': 'Patriots'}, {'mep_name': 'Jorge MARTÍN FRÍAS', 'mep_party': 'VOX', 'country': 'Spain', 'group_abbr': 'Patriots'}, {'mep_name': 'Margarita DE LA PISA CARRIÓN', 'mep_party': 'VOX', 'country': 'Spain', 'group_abbr': 'Patriots'}, {'mep_name': 'Hermann TERTSCH', 'mep_party': 'VOX', 'country': 'Spain', 'group_abbr': 'Patriots'}]"
Anar KUCERA,set(),"{'Ondřej KRUTÍLEK', 'Veronika VRECIONOVÁ', 'Alexandr VONDRA'}",False,Moved,,"[{'mep_name': 'Ondřej KRUTÍLEK', 'mep_party': 'Občanská demokratická strana', 'country': 'Czechia', 'group_abbr': 'ECR'}, {'mep_name': 'Alexandr VONDRA', 'mep_party': 'Občanská demokratická strana', 'country': 'Czechia', 'group_abbr': 'ECR'}, {'mep_name': 'Veronika VRECIONOVÁ', 'mep_party': 'Občanská demokratická strana', 'country': 'Czechia', 'group_abbr': 'ECR'}]"
