group,assistant
S&D,Alicia HOMS GINEL
S&D,Iratxe GARCÍA PÉREZ
S&D,Javier MORENO SÁNCHEZ
S&D,Juan Fernando LÓPEZ AGUILAR
S&D,Lina GÁLVEZ
S&D,Nacho SÁNCHEZ AMOR
S&D,Nicolás GONZÁLEZ CASARES
S&D,Laura BALLARÍN CEREZA
S&D,José CEPEDA
S&D,Jonás FERNÁNDEZ
S&D,Lina GÁLVEZ
S&D,Iratxe GARCÍA PÉREZ
S&D,Sandra GÓMEZ LÓPEZ
S&D,Nicolás GONZÁLEZ CASARES
S&D,Alicia HOMS GINEL
S&D,Hana JALLOUL MURO
S&D,Javi LÓPEZ
S&D,Juan Fernando LÓPEZ AGUILAR
S&D,César LUENA
S&D,Cristina MAESTRE
S&D,Idoia MENDIA
S&D,Javier MORENO SÁNCHEZ
S&D,Leire PAJÍN
S&D,Marcos ROS SEMPERE
S&D,Nacho SÁNCHEZ AMOR
S&D,Elena SANCHO MURILLO
S&D,Rosa SERRANO SIERRA
G/EFA,Pär HOLMGREN
G/EFA,Alice KUHNKE
G/EFA,Isabella LÖVIN
S&D,Alicia HOMS GINEL
S&D,Iratxe GARCÍA PÉREZ
S&D,Javier MORENO SÁNCHEZ
S&D,Lina GÁLVEZ
S&D,Nacho SÁNCHEZ AMOR
S&D,Nicolás GONZÁLEZ CASARES
S&D,José CEPEDA
S&D,Jonás FERNÁNDEZ
S&D,Lina GÁLVEZ
S&D,Iratxe GARCÍA PÉREZ
S&D,Sandra GÓMEZ LÓPEZ
S&D,Nicolás GONZÁLEZ CASARES
S&D,Alicia HOMS GINEL
S&D,Hana JALLOUL MURO
S&D,Juan Fernando LÓPEZ AGUILAR
S&D,César LUENA
S&D,Cristina MAESTRE
S&D,Idoia MENDIA
S&D,Javier MORENO SÁNCHEZ
S&D,Leire PAJÍN
S&D,Marcos ROS SEMPERE
S&D,Nacho SÁNCHEZ AMOR
S&D,Elena SANCHO MURILLO
S&D,Rosa SERRANO SIERRA
S&D,Klára DOBREV
S&D,Csaba MOLNÁR
S&D,Alicia HOMS GINEL
S&D,Cristina MAESTRE
S&D,Javier MORENO SÁNCHEZ
S&D,Juan Fernando LÓPEZ AGUILAR
S&D,Lina GÁLVEZ
S&D,Nacho SÁNCHEZ AMOR
S&D,Nicolás GONZÁLEZ CASARES
S&D,José CEPEDA
S&D,Jonás FERNÁNDEZ
S&D,Lina GÁLVEZ
S&D,Iratxe GARCÍA PÉREZ
S&D,Sandra GÓMEZ LÓPEZ
S&D,Nicolás GONZÁLEZ CASARES
S&D,Alicia HOMS GINEL
S&D,Hana JALLOUL MURO
S&D,Juan Fernando LÓPEZ AGUILAR
S&D,César LUENA
S&D,Cristina MAESTRE
S&D,Idoia MENDIA
S&D,Javier MORENO SÁNCHEZ
S&D,Leire PAJÍN
S&D,Marcos ROS SEMPERE
S&D,Nacho SÁNCHEZ AMOR
S&D,Elena SANCHO MURILLO
S&D,Rosa SERRANO SIERRA
ECR,Dick ERIXON
ECR,Beatrice TIMGREN
ECR,Charlie WEIMERS
EPP,Antonio LÓPEZ-ISTÚRIZ WHITE
EPP,Esteban GONZÁLEZ PONS
EPP,Francisco José MILLÁN MON
EPP,Isabel BENJUMEA BENJUMEA
EPP,Juan Ignacio ZOIDO ÁLVAREZ
EPP,Pablo ARIAS ECHEVERRÍA
GUE/NGL,Pernando BARRENA ARZA
EPP,Pilar del CASTILLO VERA
EPP,Rosa ESTARÀS FERRAGUT
EPP,Maravillas ABADÍA JOVER
EPP,Pablo ARIAS ECHEVERRÍA
EPP,Isabel BENJUMEA BENJUMEA
EPP,Pilar DEL CASTILLO VERA
EPP,Carmen CRESPO DÍAZ
EPP,Raúl DE LA HOZ QUINTANO
EPP,Rosa ESTARÀS FERRAGUT
EPP,Alma EZCURRA ALMANSA
EPP,Borja GIMÉNEZ LARRAZ
EPP,Esteban GONZÁLEZ PONS
EPP,Esther HERRANZ GARCÍA
EPP,Antonio LÓPEZ-ISTÚRIZ WHITE
EPP,Gabriel MATO
EPP,Francisco José MILLÁN MON
EPP,Dolors MONTSERRAT
EPP,Fernando NAVARRETE ROJAS
EPP,Elena NEVADO DEL CAMPO
EPP,Nicolás PASCUAL DE LA PARTE
EPP,Susana SOLÍS PÉREZ
EPP,Adrián VÁZQUEZ LÁZARA
EPP,Javier ZARZALEJOS
EPP,Juan Ignacio ZOIDO ÁLVAREZ
S&D,Alicia HOMS GINEL
S&D,Cristina MAESTRE
S&D,Iratxe GARCÍA PÉREZ
S&D,Javier MORENO SÁNCHEZ
S&D,Juan Fernando LÓPEZ AGUILAR
S&D,Lina GÁLVEZ
S&D,Nacho SÁNCHEZ AMOR
S&D,Nicolás GONZÁLEZ CASARES
S&D,José CEPEDA
S&D,Jonás FERNÁNDEZ
S&D,Lina GÁLVEZ
S&D,Iratxe GARCÍA PÉREZ
S&D,Sandra GÓMEZ LÓPEZ
S&D,Nicolás GONZÁLEZ CASARES
S&D,Alicia HOMS GINEL
S&D,Hana JALLOUL MURO
S&D,Juan Fernando LÓPEZ AGUILAR
S&D,César LUENA
S&D,Cristina MAESTRE
S&D,Idoia MENDIA
S&D,Javier MORENO SÁNCHEZ
S&D,Leire PAJÍN
S&D,Marcos ROS SEMPERE
S&D,Nacho SÁNCHEZ AMOR
S&D,Elena SANCHO MURILLO
S&D,Rosa SERRANO SIERRA
ECR,Margarita DE LA PISA CARRIÓN
ECR,Jorge BUXADÉ VILLALBA
Patriots,Mireia BORRÁS PABÓN
Patriots,Jorge BUXADÉ VILLALBA
Patriots,Juan Carlos GIRAUTA VIDAL
Patriots,Jorge MARTÍN FRÍAS
Patriots,Margarita DE LA PISA CARRIÓN
Patriots,Hermann TERTSCH
ECR,Ondřej KRUTÍLEK
ECR,Alexandr VONDRA
ECR,Veronika VRECIONOVÁ
S&D,Johan DANIELSSON
S&D,Adnan DIBRANI
S&D,Sofie ERIKSSON
S&D,Heléne FRITZON
S&D,Evin INCIR
ECR,Raffaele STANCANELLI
S&D,Alicia HOMS GINEL
S&D,Iratxe GARCÍA PÉREZ
S&D,Javier MORENO SÁNCHEZ
S&D,Juan Fernando LÓPEZ AGUILAR
S&D,Alicia HOMS GINEL
S&D,Cristina MAESTRE
S&D,Iratxe GARCÍA PÉREZ
S&D,Lina GÁLVEZ
S&D,Nacho SÁNCHEZ AMOR
S&D,Nicolás GONZÁLEZ CASARES
S&D,José CEPEDA
S&D,Jonás FERNÁNDEZ
S&D,Lina GÁLVEZ
S&D,Iratxe GARCÍA PÉREZ
S&D,Sandra GÓMEZ LÓPEZ
S&D,Nicolás GONZÁLEZ CASARES
S&D,Alicia HOMS GINEL
S&D,Hana JALLOUL MURO
S&D,Juan Fernando LÓPEZ AGUILAR
S&D,César LUENA
S&D,Cristina MAESTRE
S&D,Idoia MENDIA
S&D,Javier MORENO SÁNCHEZ
S&D,Leire PAJÍN
S&D,Marcos ROS SEMPERE
S&D,Nacho SÁNCHEZ AMOR
S&D,Elena SANCHO MURILLO
S&D,Rosa SERRANO SIERRA
Patriots,Marieke EHLERS
Patriots,Auke ZIJLSTRA
ID,Marie DAUCHY
ID,Catherine GRISET
Patriots,Marie DAUCHY
Patriots,Catherine GRISET
Patriots,Alexandre VARAUT
ID,Gerolf ANNEMANS
Patriots,Gerolf ANNEMANS
Patriots,Barbara BONTE
Patriots,Tom VANDENDRIESSCHE
ECR,Margarita DE LA PISA CARRIÓN
ECR,Jorge BUXADÉ VILLALBA
Patriots,Mireia BORRÁS PABÓN
Patriots,Jorge BUXADÉ VILLALBA
Patriots,Juan Carlos GIRAUTA VIDAL
Patriots,Jorge MARTÍN FRÍAS
Patriots,Margarita DE LA PISA CARRIÓN
Patriots,Hermann TERTSCH
G/EFA,Pär HOLMGREN
G/EFA,Alice KUHNKE
G/EFA,Isabella LÖVIN
G/EFA,Kim VAN SPARRENTAK
G/EFA,Bas EICKHOUT
G/EFA,Tineke STRIK
G/EFA,Kim VAN SPARRENTAK
G/EFA,Catarina VIEIRA
ECR,Margarita DE LA PISA CARRIÓN
ECR,Jorge BUXADÉ VILLALBA
Patriots,Mireia BORRÁS PABÓN
Patriots,Jorge BUXADÉ VILLALBA
Patriots,Juan Carlos GIRAUTA VIDAL
Patriots,Jorge MARTÍN FRÍAS
Patriots,Margarita DE LA PISA CARRIÓN
Patriots,Hermann TERTSCH
S&D,Alicia HOMS GINEL
S&D,Iratxe GARCÍA PÉREZ
S&D,Javier MORENO SÁNCHEZ
S&D,Juan Fernando LÓPEZ AGUILAR
S&D,Lina GÁLVEZ
S&D,Nacho SÁNCHEZ AMOR
S&D,Nicolás GONZÁLEZ CASARES
S&D,José CEPEDA
S&D,Jonás FERNÁNDEZ
S&D,Lina GÁLVEZ
S&D,Iratxe GARCÍA PÉREZ
S&D,Sandra GÓMEZ LÓPEZ
S&D,Nicolás GONZÁLEZ CASARES
S&D,Alicia HOMS GINEL
S&D,Hana JALLOUL MURO
S&D,Juan Fernando LÓPEZ AGUILAR
S&D,César LUENA
S&D,Cristina MAESTRE
S&D,Idoia MENDIA
S&D,Javier MORENO SÁNCHEZ
S&D,Leire PAJÍN
S&D,Marcos ROS SEMPERE
